Gene_Symbol,Mean_T1D,Mean_Control,Log2FC,P_Value,FDR
TRA2A,9.154619852811308,9.398573200330146,-0.24395334751883802,0.0017184103259255405,0.10053816257525403
RPN1,9.678921664079663,10.034406402043775,-0.35548473796411173,0.0017061058554317782,0.10053816257525403
TMEM41B,9.438697076751172,9.151604251667438,0.2870928250837341,0.001699400933493242,0.10053816257525403
BNIP1,7.190587744851926,7.410095321561035,-0.21950757670910903,0.0017347760203466408,0.10062445457075042
TLR1,9.412231155921896,8.9754449826023,0.43678617331959657,0.001734250759206555,0.10062445457075042
SLA,11.006703828232963,10.716899979704964,0.289803848527999,0.0017633887175078022,0.10184700220990574
RNF115,9.499992587547771,9.68540488593456,-0.18541229838678852,0.0017900329454139394,0.10278402538611518
SDF2,9.302324094833246,9.132894388456753,0.16942970637649246,0.0017948227888363434,0.10278402538611518
GCOM1 /// POLR2M,8.938071850197302,9.08345527990045,-0.14538342970314844,0.0018034622275246194,0.10284300424048622
RAB4A /// SPHAR,8.322592985453054,8.52211002107726,-0.19951703562420597,0.0018359271571714167,0.10324618628381767
PAX7,4.454348757493942,3.9566850923030565,0.49766366519088523,0.0018410899662893126,0.10324618628381767
DDOST,11.118897102383915,11.235127922897453,-0.11623082051353784,0.0018316801396102106,0.10324618628381767
LOC101929087 /// SUMO2 /// SUMO3,12.15821179360551,12.339590579626416,-0.18137878602090574,0.0018344095831737167,0.10324618628381767
FAM21C /// LOC101930591,11.200982579772043,11.338244337500377,-0.13726175772833393,0.0018490719960282164,0.10326532242281547
HIVEP2,9.075296191169699,8.767513395507853,0.3077827956618453,0.0018673571087416182,0.10343168575673349
RBM22,10.241544373871731,10.476273577173256,-0.2347292033015247,0.0018602597561377951,0.10343168575673349
DUSP6,11.551426774120026,11.004514131263365,0.5469126428566611,0.0018874426905739125,0.10369426001262776
GHSR,4.05699243450306,4.656324846007177,-0.5993324115041165,0.0018868075958629825,0.10369426001262776
AHCY,8.822950934411217,9.060114149506292,-0.23716321509507488,0.0019105495988151653,0.10453877663152615
LOC100130872 /// SPON2,9.387236559948636,9.912171034061972,-0.5249344741133353,0.0019264269312514496,0.10498249990267476
IL25,5.3863211392395,4.736995227405608,0.6493259118338912,0.0019343591914506228,0.10499142358415729
POLR3K,9.13583057769392,8.8605808313882,0.27524974630571997,0.001944284626121262,0.10510802688811542
SEPHS1,8.375729625948923,8.150409707555134,0.2253199183937884,0.0019594730379087475,0.10522864250518778
ZNF133,7.598631934021517,7.328711593058448,0.26992034096306927,0.0019932321480819882,0.10522864250518778
MAFB,11.804721066369321,11.183615408280957,0.6211056580883643,0.0019879876224365945,0.10522864250518778
FOXA1,5.109106172288671,5.894312147742364,-0.7852059754536933,0.0019832083714576556,0.10522864250518778
DLC1,5.389139748433717,5.778681017300297,-0.38954126886658,0.0019844552250818165,0.10522864250518778
IL23A,8.386315666315767,7.813441654292872,0.5728740120228943,0.001977358812212448,0.10522864250518778
MICA /// MICB,8.347517169429594,8.001435415159893,0.3460817542697008,0.002007863766156128,0.10558863346147887
CCL2,5.000501646424576,4.20894103209939,0.7915606143251859,0.002028120138591211,0.10624047935294657
WWP1,8.705042511893259,8.936171621564618,-0.23112910967135925,0.002046381608457213,0.10678319474246807
MRPL46,8.966309990187911,8.689225991381866,0.2770839988060452,0.0020546806472071313,0.10680388056540145
NRBF2,8.890654027811603,8.486350197393676,0.40430383041792695,0.0021010029098580585,0.10879331159667302
ANKZF1,9.248411244636767,8.907265866863483,0.3411453777732838,0.0021175791738215475,0.10923313944350464
CD44,10.479611428122546,10.648774388038271,-0.1691629599157256,0.0021398644643363784,0.1099629970931793
TOB1,10.542899967897574,10.918798931143526,-0.37589896324595173,0.0022008002785176574,0.11224081420440053
ADCY6,6.444020954879887,5.682113670725092,0.7619072841547956,0.00219267475601639,0.11224081420440053
RSBN1,9.316816218442769,8.909214742784304,0.40760147565846516,0.002227873814927369,0.11234968137590817
RAB6A /// RAB6C /// WTH3DI,10.573848530720815,10.76012086203127,-0.18627233131045529,0.002222945508497728,0.11234968137590817
LOC100127972,8.34120584555544,8.664892086130001,-0.3236862405745615,0.002223974653607117,0.11234968137590817
